
#type,topleft(x,y),bottomright(x,y)


#Ground level
2,0,490,127,495      # Ceiling0
2,0,509,127,509      # raise floor by 1
2,145,0,255,511      # block right half of map

2,10,496,11,501      # Hanging_Structure_0
2,6,502,15,503       # 
1,7,501,9,501
3,5,501,6,504        #
3,15,501,16,504      #
0,8,490,9,495        # Short_cut

1,20,499,27,499      # Arrow
1,25,497,25,501      #
1,26,498,26,500      #

0,41,509,46,509	   # Saltpit_0
1,41,510,46,511	   # 

2,60,507,61,509      # 

3,66,503,72,503      # Platform_0
2,67,504,71,504   
3,78,500,85,500      # Platform_1
2,79,501,84,501
2,78,507,79,508
0,80,509,83,509      
1,80,510,83,511      # Saltpit_1
2,84,507,85,509

2,100,502,101,507
2,105,504,106,509
2,110,496,111,504
2,115,500,116,509

1,128,510,144,511    # Saltpit_2
3,128,507,131,507    # Salt_Column_0
1,129,508,130,509    # Platform
1,133,506,134,511    # Salt_Column_1
3,132,505,135,505    # Platform
1,137,502,138,511    # Salt_Column_2 
3,136,501,139,501    # Platform
3,140,498,143,498    # Salt_Column_3
1,141,499,142,511    # Platform


#1st_Floor 
#2,130,475,137,481    # Salt_Container_0
#1,132,476,135,479
#0,132,475,135,475

1,115,491,120,492    # Saltpit_0
0,115,490,120,490

3,101,486,104,486    # Platform
2,102,487,103,489    # Column
3,93,484,96,484      # Platform
2,94,485,95,489      # Column

2,49,483,89,485      # Salt_Container_1
3,86,482,89,482      # Platform
3,49,482,52,482      # Platform
1,53,483,85,484      # Salt

2,81,481,81,481      # Floating_platform_0
3,80,480,82,480
3,71,478,75,478      # Floating_platform_1
2,72,479,74,479
3,63,478,65,478      # Floating_platform_2
2,64,479,64,479
3,55,470,56,475      # WallB_Tower0

3,43,470,46,470      # Salt_Tower0
3,43,489,46,489      # 
1,44,471,45,488      #

3,6,469,9,482        # 
2,7,470,8,481
1,6,474,6,479

1,1,456,1,464        
3,6,461,6,465
2,7,461,8,465

2,16,470,19,470      # Shortcut_Platform
2,25,472,27,472

2,6,450,144,460      # Ceiling


#2nd_Floor
1,12,450,140,452     # Large_Salt_Pit
3,6,449,11,449
1,2,440,8,440
2,2,435,8,439
3,14,440,16,446



